date,store,product,category,sales_units,xgb_predicted,rf_predicted,xgb_error,rf_error
2023-11-12,Store_Bangalore,Biscuits 200g,Snacks,141,94,78,47,63
2023-11-13,Store_Bangalore,Biscuits 200g,Snacks,61,77,74,16,13
2023-11-14,Store_Bangalore,Biscuits 200g,Snacks,43,76,74,33,31
2023-11-15,Store_Bangalore,Biscuits 200g,Snacks,28,79,73,51,45
2023-11-16,Store_Bangalore,Biscuits 200g,Snacks,97,86,75,11,22
2023-11-17,Store_Bangalore,Biscuits 200g,Snacks,78,78,75,0,3
2023-11-18,Store_Bangalore,Biscuits 200g,Snacks,48,94,86,46,38
2023-11-19,Store_Bangalore,Biscuits 200g,Snacks,141,88,80,53,61
2023-11-20,Store_Bangalore,Biscuits 200g,Snacks,32,84,72,52,40
2023-11-21,Store_Bangalore,Biscuits 200g,Snacks,66,78,67,12,1
2023-11-22,Store_Bangalore,Biscuits 200g,Snacks,56,79,69,23,13
2023-11-23,Store_Bangalore,Biscuits 200g,Snacks,75,75,70,0,5
2023-11-24,Store_Bangalore,Biscuits 200g,Snacks,103,73,68,30,35
2023-11-25,Store_Bangalore,Biscuits 200g,Snacks,66,92,85,26,19
2023-11-26,Store_Bangalore,Biscuits 200g,Snacks,109,82,79,27,30
2023-11-27,Store_Bangalore,Biscuits 200g,Snacks,11,70,64,59,53
2023-11-28,Store_Bangalore,Biscuits 200g,Snacks,141,76,70,65,71
2023-11-29,Store_Bangalore,Biscuits 200g,Snacks,46,77,72,31,26
2023-11-30,Store_Bangalore,Biscuits 200g,Snacks,132,76,72,56,60
2023-12-01,Store_Bangalore,Biscuits 200g,Snacks,31,69,71,38,40
2023-12-02,Store_Bangalore,Biscuits 200g,Snacks,27,73,75,46,48
2023-12-03,Store_Bangalore,Biscuits 200g,Snacks,53,68,74,15,21
2023-12-04,Store_Bangalore,Biscuits 200g,Snacks,36,69,70,33,34
2023-12-05,Store_Bangalore,Biscuits 200g,Snacks,23,68,69,45,46
2023-12-06,Store_Bangalore,Biscuits 200g,Snacks,87,73,73,14,14
2023-12-07,Store_Bangalore,Biscuits 200g,Snacks,80,75,70,5,10
2023-12-08,Store_Bangalore,Biscuits 200g,Snacks,24,69,63,45,39
2023-12-09,Store_Bangalore,Biscuits 200g,Snacks,47,78,69,31,22
2023-12-10,Store_Bangalore,Biscuits 200g,Snacks,112,88,69,24,43
2023-12-11,Store_Bangalore,Biscuits 200g,Snacks,130,66,74,64,56
2023-12-12,Store_Bangalore,Biscuits 200g,Snacks,141,80,77,61,64
2023-12-13,Store_Bangalore,Biscuits 200g,Snacks,141,73,72,68,69
2023-12-14,Store_Bangalore,Biscuits 200g,Snacks,99,65,73,34,26
2023-12-15,Store_Bangalore,Biscuits 200g,Snacks,70,61,73,9,3
2023-12-16,Store_Bangalore,Biscuits 200g,Snacks,141,86,93,55,48
2023-12-17,Store_Bangalore,Biscuits 200g,Snacks,56,85,85,29,29
2023-12-18,Store_Bangalore,Biscuits 200g,Snacks,92,61,74,31,18
2023-12-19,Store_Bangalore,Biscuits 200g,Snacks,93,83,77,10,16
2023-12-20,Store_Bangalore,Biscuits 200g,Snacks,57,72,75,15,18
2023-12-21,Store_Bangalore,Biscuits 200g,Snacks,99,68,74,31,25
2023-12-22,Store_Bangalore,Biscuits 200g,Snacks,116,61,73,55,43
2023-12-23,Store_Bangalore,Biscuits 200g,Snacks,87,82,92,5,5
2023-12-24,Store_Bangalore,Biscuits 200g,Snacks,138,82,91,56,47
2023-12-25,Store_Bangalore,Biscuits 200g,Snacks,116,56,73,60,43
2023-12-26,Store_Bangalore,Biscuits 200g,Snacks,66,61,75,5,9
2023-12-27,Store_Bangalore,Biscuits 200g,Snacks,75,68,75,7,0
2023-12-28,Store_Bangalore,Biscuits 200g,Snacks,59,70,73,11,14
2023-12-29,Store_Bangalore,Biscuits 200g,Snacks,108,71,74,37,34
2023-12-30,Store_Bangalore,Biscuits 200g,Snacks,36,80,89,44,53
2023-12-31,Store_Bangalore,Biscuits 200g,Snacks,120,91,86,29,34
2024-01-01,Store_Bangalore,Biscuits 200g,Snacks,40,47,46,7,6
2023-10-02,Store_Bangalore,Butter 100g,Dairy,35,48,47,13,12
2023-10-03,Store_Bangalore,Butter 100g,Dairy,44,48,47,4,3
2023-10-04,Store_Bangalore,Butter 100g,Dairy,65,47,47,18,18
2023-10-05,Store_Bangalore,Butter 100g,Dairy,30,47,47,17,17
2023-10-06,Store_Bangalore,Butter 100g,Dairy,42,46,47,4,5
2023-10-07,Store_Bangalore,Butter 100g,Dairy,32,61,61,29,29
2023-10-08,Store_Bangalore,Butter 100g,Dairy,73,60,61,13,12
2023-10-09,Store_Bangalore,Butter 100g,Dairy,28,46,46,18,18
2023-10-10,Store_Bangalore,Butter 100g,Dairy,9,46,46,37,37
2023-10-11,Store_Bangalore,Butter 100g,Dairy,27,46,46,19,19
2023-10-12,Store_Bangalore,Butter 100g,Dairy,19,46,46,27,27
2023-10-13,Store_Bangalore,Butter 100g,Dairy,20,47,46,27,26
2023-10-14,Store_Bangalore,Butter 100g,Dairy,43,62,60,19,17
2023-10-15,Store_Bangalore,Butter 100g,Dairy,47,55,60,8,13
2023-10-16,Store_Bangalore,Butter 100g,Dairy,27,47,46,20,19
2023-10-17,Store_Bangalore,Butter 100g,Dairy,43,46,45,3,2
2023-10-18,Store_Bangalore,Butter 100g,Dairy,7,47,46,40,39
2023-10-19,Store_Bangalore,Butter 100g,Dairy,65,44,45,21,20
2023-10-20,Store_Bangalore,Butter 100g,Dairy,41,45,47,4,6
2023-10-21,Store_Bangalore,Butter 100g,Dairy,40,60,60,20,20
2023-10-22,Store_Bangalore,Butter 100g,Dairy,43,61,59,18,16
2023-10-23,Store_Bangalore,Butter 100g,Dairy,10,45,45,35,35
2023-10-24,Store_Bangalore,Butter 100g,Dairy,30,44,45,14,15
2023-10-25,Store_Bangalore,Butter 100g,Dairy,62,46,45,16,17
2023-10-26,Store_Bangalore,Butter 100g,Dairy,75,47,46,28,29
2023-10-27,Store_Bangalore,Butter 100g,Dairy,37,47,46,10,9
2023-10-28,Store_Bangalore,Butter 100g,Dairy,72,55,57,17,15
2023-10-29,Store_Bangalore,Butter 100g,Dairy,69,56,58,13,11
2023-10-30,Store_Bangalore,Butter 100g,Dairy,34,47,47,13,13
2023-10-31,Store_Bangalore,Butter 100g,Dairy,36,44,47,8,11
2023-11-01,Store_Bangalore,Butter 100g,Dairy,27,42,46,15,19
2023-11-02,Store_Bangalore,Butter 100g,Dairy,23,38,46,15,23
2023-11-03,Store_Bangalore,Butter 100g,Dairy,84,43,46,41,38
2023-11-04,Store_Bangalore,Butter 100g,Dairy,51,56,58,5,7
2023-11-05,Store_Bangalore,Butter 100g,Dairy,103,55,59,48,44
2023-11-06,Store_Bangalore,Butter 100g,Dairy,61,47,46,14,15
2023-11-07,Store_Bangalore,Butter 100g,Dairy,25,46,46,21,21
2023-11-08,Store_Bangalore,Butter 100g,Dairy,52,45,46,7,6
2023-11-09,Store_Bangalore,Butter 100g,Dairy,28,42,46,14,18
2023-11-10,Store_Bangalore,Butter 100g,Dairy,79,44,46,35,33
2023-11-11,Store_Bangalore,Butter 100g,Dairy,39,58,60,19,21
2023-11-12,Store_Bangalore,Butter 100g,Dairy,53,58,60,5,7
2023-11-13,Store_Bangalore,Butter 100g,Dairy,16,44,46,28,30
2023-11-14,Store_Bangalore,Butter 100g,Dairy,40,45,46,5,6
2023-11-15,Store_Bangalore,Butter 100g,Dairy,29,46,46,17,17
2023-11-16,Store_Bangalore,Butter 100g,Dairy,44,46,46,2,2
2023-11-17,Store_Bangalore,Butter 100g,Dairy,18,46,46,28,28
2023-11-18,Store_Bangalore,Butter 100g,Dairy,84,60,61,24,23
2023-11-19,Store_Bangalore,Butter 100g,Dairy,74,60,60,14,14
2023-11-20,Store_Bangalore,Butter 100g,Dairy,80,45,46,35,34
2023-11-21,Store_Bangalore,Butter 100g,Dairy,70,45,46,25,24
2023-11-22,Store_Bangalore,Butter 100g,Dairy,66,45,46,21,20
2023-11-23,Store_Bangalore,Butter 100g,Dairy,39,45,46,6,7
2023-11-24,Store_Bangalore,Butter 100g,Dairy,23,44,46,21,23
2023-11-25,Store_Bangalore,Butter 100g,Dairy,86,58,60,28,26
2023-11-26,Store_Bangalore,Butter 100g,Dairy,31,62,61,31,30
2023-11-27,Store_Bangalore,Butter 100g,Dairy,29,46,46,17,17
2023-11-28,Store_Bangalore,Butter 100g,Dairy,14,46,46,32,32
2023-11-29,Store_Bangalore,Butter 100g,Dairy,54,47,46,7,8
2023-11-30,Store_Bangalore,Butter 100g,Dairy,92,46,46,46,46
2023-12-01,Store_Bangalore,Butter 100g,Dairy,49,47,46,2,3
2023-12-02,Store_Bangalore,Butter 100g,Dairy,31,59,62,28,31
2023-12-03,Store_Bangalore,Butter 100g,Dairy,84,57,60,27,24
2023-12-04,Store_Bangalore,Butter 100g,Dairy,67,45,46,22,21
2023-12-05,Store_Bangalore,Butter 100g,Dairy,34,46,46,12,12
2023-12-06,Store_Bangalore,Butter 100g,Dairy,13,46,46,33,33
2023-12-07,Store_Bangalore,Butter 100g,Dairy,47,45,46,2,1
2023-12-08,Store_Bangalore,Butter 100g,Dairy,44,45,46,1,2
2023-12-09,Store_Bangalore,Butter 100g,Dairy,54,59,60,5,6
2023-12-10,Store_Bangalore,Butter 100g,Dairy,40,56,60,16,20
2023-12-11,Store_Bangalore,Butter 100g,Dairy,53,45,46,8,7
2023-12-12,Store_Bangalore,Butter 100g,Dairy,59,47,46,12,13
2023-12-13,Store_Bangalore,Butter 100g,Dairy,20,46,46,26,26
2023-12-14,Store_Bangalore,Butter 100g,Dairy,69,45,46,24,23
2023-12-15,Store_Bangalore,Butter 100g,Dairy,28,46,46,18,18
2023-12-16,Store_Bangalore,Butter 100g,Dairy,22,59,60,37,38
2023-12-17,Store_Bangalore,Butter 100g,Dairy,86,59,60,27,26
2023-12-18,Store_Bangalore,Butter 100g,Dairy,53,44,46,9,7
2023-12-19,Store_Bangalore,Butter 100g,Dairy,35,46,46,11,11
2023-12-20,Store_Bangalore,Butter 100g,Dairy,63,43,46,20,17
2023-12-21,Store_Bangalore,Butter 100g,Dairy,45,43,45,2,0
2023-12-22,Store_Bangalore,Butter 100g,Dairy,55,43,45,12,10
2023-12-23,Store_Bangalore,Butter 100g,Dairy,37,57,59,20,22
2023-12-24,Store_Bangalore,Butter 100g,Dairy,44,53,59,9,15
2023-12-25,Store_Bangalore,Butter 100g,Dairy,52,41,45,11,7
2023-12-26,Store_Bangalore,Butter 100g,Dairy,15,43,45,28,30
2023-12-27,Store_Bangalore,Butter 100g,Dairy,66,47,45,19,21
2023-12-28,Store_Bangalore,Butter 100g,Dairy,17,45,45,28,28
2023-12-29,Store_Bangalore,Butter 100g,Dairy,51,46,45,5,6
2023-12-30,Store_Bangalore,Butter 100g,Dairy,59,56,58,3,1
2023-12-31,Store_Bangalore,Butter 100g,Dairy,53,55,59,2,6
2024-01-01,Store_Bangalore,Butter 100g,Dairy,32,48,47,16,15
2023-10-02,Store_Bangalore,Chips 100g,Snacks,45,61,54,16,9
2023-10-03,Store_Bangalore,Chips 100g,Snacks,11,60,57,49,46
2023-10-04,Store_Bangalore,Chips 100g,Snacks,107,62,58,45,49
2023-10-05,Store_Bangalore,Chips 100g,Snacks,32,70,61,38,29
2023-10-06,Store_Bangalore,Chips 100g,Snacks,91,67,62,24,29
2023-10-07,Store_Bangalore,Chips 100g,Snacks,109,87,71,22,38
2023-10-08,Store_Bangalore,Chips 100g,Snacks,13,88,74,75,61
2023-10-09,Store_Bangalore,Chips 100g,Snacks,59,62,56,3,3
2023-10-10,Store_Bangalore,Chips 100g,Snacks,43,63,57,20,14
2023-10-11,Store_Bangalore,Chips 100g,Snacks,59,68,61,9,2
2023-10-12,Store_Bangalore,Chips 100g,Snacks,55,67,56,12,1
2023-10-13,Store_Bangalore,Chips 100g,Snacks,46,66,57,20,11
2023-10-14,Store_Bangalore,Chips 100g,Snacks,97,79,71,18,26
2023-10-15,Store_Bangalore,Chips 100g,Snacks,117,79,70,38,47
2023-10-16,Store_Bangalore,Chips 100g,Snacks,116,62,60,54,56
2023-10-17,Store_Bangalore,Chips 100g,Snacks,65,65,67,0,2
2023-10-18,Store_Bangalore,Chips 100g,Snacks,91,58,63,33,28
2023-10-19,Store_Bangalore,Chips 100g,Snacks,53,63,64,10,11
2023-10-20,Store_Bangalore,Chips 100g,Snacks,76,62,61,14,15
2023-10-21,Store_Bangalore,Chips 100g,Snacks,121,78,80,43,41
2023-10-22,Store_Bangalore,Chips 100g,Snacks,56,74,83,18,27
2023-10-23,Store_Bangalore,Chips 100g,Snacks,63,69,67,6,4
2023-10-24,Store_Bangalore,Chips 100g,Snacks,24,69,66,45,42
2023-10-25,Store_Bangalore,Chips 100g,Snacks,47,66,65,19,18
2023-10-26,Store_Bangalore,Chips 100g,Snacks,141,61,62,80,79
2023-10-27,Store_Bangalore,Chips 100g,Snacks,112,72,72,40,40
2023-10-28,Store_Bangalore,Chips 100g,Snacks,64,79,84,15,20
2023-10-29,Store_Bangalore,Chips 100g,Snacks,23,80,90,57,67
2023-10-30,Store_Bangalore,Chips 100g,Snacks,112,69,75,43,37
2023-10-31,Store_Bangalore,Chips 100g,Snacks,67,68,71,1,4
2023-11-01,Store_Bangalore,Chips 100g,Snacks,78,75,73,3,5
2023-11-02,Store_Bangalore,Chips 100g,Snacks,89,74,72,15,17
2023-11-03,Store_Bangalore,Chips 100g,Snacks,78,86,78,8,0
2023-11-04,Store_Bangalore,Chips 100g,Snacks,94,91,82,3,12
2023-11-05,Store_Bangalore,Chips 100g,Snacks,130,96,90,34,40
2023-11-06,Store_Bangalore,Chips 100g,Snacks,112,86,75,26,37
2023-11-07,Store_Bangalore,Chips 100g,Snacks,51,81,75,30,24
2023-11-08,Store_Bangalore,Chips 100g,Snacks,71,77,75,6,4
2023-11-09,Store_Bangalore,Chips 100g,Snacks,53,75,75,22,22
2023-11-10,Store_Bangalore,Chips 100g,Snacks,104,78,74,26,30
2023-11-11,Store_Bangalore,Chips 100g,Snacks,129,102,91,27,38
2023-11-12,Store_Bangalore,Chips 100g,Snacks,65,89,85,24,20
2023-11-13,Store_Bangalore,Chips 100g,Snacks,40,77,73,37,33
2023-11-14,Store_Bangalore,Chips 100g,Snacks,109,78,76,31,33
2023-11-15,Store_Bangalore,Chips 100g,Snacks,127,84,76,43,51
2023-11-16,Store_Bangalore,Chips 100g,Snacks,49,74,75,25,26
2023-11-17,Store_Bangalore,Chips 100g,Snacks,73,78,76,5,3
2023-11-18,Store_Bangalore,Chips 100g,Snacks,75,92,86,17,11
2023-11-19,Store_Bangalore,Chips 100g,Snacks,65,97,94,32,29
2023-11-20,Store_Bangalore,Chips 100g,Snacks,87,77,75,10,12
2023-11-21,Store_Bangalore,Chips 100g,Snacks,104,77,74,27,30
2023-11-22,Store_Bangalore,Chips 100g,Snacks,78,76,74,2,4
2023-11-23,Store_Bangalore,Chips 100g,Snacks,58,73,71,15,13
2023-11-24,Store_Bangalore,Chips 100g,Snacks,56,73,68,17,12
2023-11-25,Store_Bangalore,Chips 100g,Snacks,121,93,91,28,30
2023-11-26,Store_Bangalore,Chips 100g,Snacks,83,103,94,20,11
2023-11-27,Store_Bangalore,Chips 100g,Snacks,83,70,68,13,15
2023-11-28,Store_Bangalore,Chips 100g,Snacks,141,78,70,63,71
2023-11-29,Store_Bangalore,Chips 100g,Snacks,46,66,67,20,21
2023-11-30,Store_Bangalore,Chips 100g,Snacks,73,66,70,7,3
2023-12-01,Store_Bangalore,Chips 100g,Snacks,63,70,72,7,9
2023-12-02,Store_Bangalore,Chips 100g,Snacks,141,82,70,59,71
2023-12-03,Store_Bangalore,Chips 100g,Snacks,119,82,77,37,42
2023-12-04,Store_Bangalore,Chips 100g,Snacks,66,62,72,4,6
2023-12-05,Store_Bangalore,Chips 100g,Snacks,45,68,73,23,28
2023-12-06,Store_Bangalore,Chips 100g,Snacks,57,72,75,15,18
2023-12-07,Store_Bangalore,Chips 100g,Snacks,42,77,74,35,32
2023-12-08,Store_Bangalore,Chips 100g,Snacks,89,74,73,15,16
2023-12-09,Store_Bangalore,Chips 100g,Snacks,84,86,87,2,3
2023-12-10,Store_Bangalore,Chips 100g,Snacks,65,88,89,23,24
2023-12-11,Store_Bangalore,Chips 100g,Snacks,35,70,65,35,30
2023-12-12,Store_Bangalore,Chips 100g,Snacks,56,63,64,7,8
2023-12-13,Store_Bangalore,Chips 100g,Snacks,119,64,65,55,54
2023-12-14,Store_Bangalore,Chips 100g,Snacks,64,74,71,10,7
2023-12-15,Store_Bangalore,Chips 100g,Snacks,65,71,69,6,4
2023-12-16,Store_Bangalore,Chips 100g,Snacks,64,97,91,33,27
2023-12-17,Store_Bangalore,Chips 100g,Snacks,141,91,87,50,54
2023-12-18,Store_Bangalore,Chips 100g,Snacks,14,68,65,54,51
2023-12-19,Store_Bangalore,Chips 100g,Snacks,118,74,75,44,43
2023-12-20,Store_Bangalore,Chips 100g,Snacks,130,71,71,59,59
2023-12-21,Store_Bangalore,Chips 100g,Snacks,73,78,76,5,3
2023-12-22,Store_Bangalore,Chips 100g,Snacks,71,72,75,1,4
2023-12-23,Store_Bangalore,Chips 100g,Snacks,141,91,96,50,45
2023-12-24,Store_Bangalore,Chips 100g,Snacks,132,93,96,39,36
2023-12-25,Store_Bangalore,Chips 100g,Snacks,75,70,74,5,1
2023-12-26,Store_Bangalore,Chips 100g,Snacks,47,68,73,21,26
2023-12-27,Store_Bangalore,Chips 100g,Snacks,109,68,74,41,35
2023-12-28,Store_Bangalore,Chips 100g,Snacks,64,72,74,8,10
2023-12-29,Store_Bangalore,Chips 100g,Snacks,92,73,74,19,18
2023-12-30,Store_Bangalore,Chips 100g,Snacks,141,89,90,52,51
2023-12-31,Store_Bangalore,Chips 100g,Snacks,114,86,96,28,18
2024-01-01,Store_Bangalore,Chips 100g,Snacks,7,48,50,41,43
2023-10-02,Store_Bangalore,Coca Cola 2L,Beverages,69,48,48,21,21
2023-10-03,Store_Bangalore,Coca Cola 2L,Beverages,35,48,48,13,13
2023-10-04,Store_Bangalore,Coca Cola 2L,Beverages,60,47,48,13,12
2023-10-05,Store_Bangalore,Coca Cola 2L,Beverages,39,49,48,10,9
2023-10-06,Store_Bangalore,Coca Cola 2L,Beverages,62,48,48,14,14
2023-10-07,Store_Bangalore,Coca Cola 2L,Beverages,86,62,60,24,26
2023-10-08,Store_Bangalore,Coca Cola 2L,Beverages,82,62,61,20,21
2023-10-09,Store_Bangalore,Coca Cola 2L,Beverages,43,48,47,5,4
2023-10-10,Store_Bangalore,Coca Cola 2L,Beverages,60,48,47,12,13
2023-10-11,Store_Bangalore,Coca Cola 2L,Beverages,16,49,47,33,31
2023-10-12,Store_Bangalore,Coca Cola 2L,Beverages,67,50,47,17,20
2023-10-13,Store_Bangalore,Coca Cola 2L,Beverages,35,48,47,13,12
2023-10-14,Store_Bangalore,Coca Cola 2L,Beverages,93,61,61,32,32
2023-10-15,Store_Bangalore,Coca Cola 2L,Beverages,41,63,61,22,20
2023-10-16,Store_Bangalore,Coca Cola 2L,Beverages,77,47,47,30,30
2023-10-17,Store_Bangalore,Coca Cola 2L,Beverages,44,50,47,6,3
2023-10-18,Store_Bangalore,Coca Cola 2L,Beverages,46,47,47,1,1
2023-10-19,Store_Bangalore,Coca Cola 2L,Beverages,33,49,47,16,14
2023-10-20,Store_Bangalore,Coca Cola 2L,Beverages,36,48,47,12,11
2023-10-21,Store_Bangalore,Coca Cola 2L,Beverages,130,59,61,71,69
2023-10-22,Store_Bangalore,Coca Cola 2L,Beverages,51,64,63,13,12
2023-10-23,Store_Bangalore,Coca Cola 2L,Beverages,24,48,48,24,24
2023-10-24,Store_Bangalore,Coca Cola 2L,Beverages,60,48,48,12,12
2023-10-25,Store_Bangalore,Coca Cola 2L,Beverages,30,48,48,18,18
2023-10-26,Store_Bangalore,Coca Cola 2L,Beverages,41,48,48,7,7
2023-10-27,Store_Bangalore,Coca Cola 2L,Beverages,76,47,47,29,29
2023-10-28,Store_Bangalore,Coca Cola 2L,Beverages,20,61,63,41,43
2023-10-29,Store_Bangalore,Coca Cola 2L,Beverages,39,62,62,23,23
2023-10-30,Store_Bangalore,Coca Cola 2L,Beverages,42,48,49,6,7
2023-10-31,Store_Bangalore,Coca Cola 2L,Beverages,57,48,49,9,8
2023-11-01,Store_Bangalore,Coca Cola 2L,Beverages,36,53,51,17,15
2023-11-02,Store_Bangalore,Coca Cola 2L,Beverages,41,53,51,12,10
2023-11-03,Store_Bangalore,Coca Cola 2L,Beverages,30,52,51,22,21
2023-11-04,Store_Bangalore,Coca Cola 2L,Beverages,42,53,61,11,19
2023-11-05,Store_Bangalore,Coca Cola 2L,Beverages,66,62,61,4,5
2023-11-06,Store_Bangalore,Coca Cola 2L,Beverages,82,52,53,30,29
2023-11-07,Store_Bangalore,Coca Cola 2L,Beverages,62,53,51,9,11
2023-11-08,Store_Bangalore,Coca Cola 2L,Beverages,97,50,51,47,46
2023-11-09,Store_Bangalore,Coca Cola 2L,Beverages,17,53,51,36,34
2023-11-10,Store_Bangalore,Coca Cola 2L,Beverages,71,51,51,20,20
2023-11-11,Store_Bangalore,Coca Cola 2L,Beverages,56,67,61,11,5
2023-11-12,Store_Bangalore,Coca Cola 2L,Beverages,83,62,61,21,22
2023-11-13,Store_Bangalore,Coca Cola 2L,Beverages,121,50,51,71,70
2023-11-14,Store_Bangalore,Coca Cola 2L,Beverages,59,52,53,7,6
2023-11-15,Store_Bangalore,Coca Cola 2L,Beverages,30,51,53,21,23
2023-11-16,Store_Bangalore,Coca Cola 2L,Beverages,60,53,51,7,9
2023-11-17,Store_Bangalore,Coca Cola 2L,Beverages,86,53,51,33,35
2023-11-18,Store_Bangalore,Coca Cola 2L,Beverages,40,63,63,23,23
2023-11-19,Store_Bangalore,Coca Cola 2L,Beverages,23,68,64,45,41
2023-11-20,Store_Bangalore,Coca Cola 2L,Beverages,22,61,56,39,34
2023-11-21,Store_Bangalore,Coca Cola 2L,Beverages,23,55,51,32,28
2023-11-22,Store_Bangalore,Coca Cola 2L,Beverages,62,52,50,10,12
2023-11-23,Store_Bangalore,Coca Cola 2L,Beverages,67,53,51,14,16
2023-11-24,Store_Bangalore,Coca Cola 2L,Beverages,68,53,51,15,17
2023-11-25,Store_Bangalore,Coca Cola 2L,Beverages,89,63,61,26,28
2023-11-26,Store_Bangalore,Coca Cola 2L,Beverages,63,67,62,4,1
2023-11-27,Store_Bangalore,Coca Cola 2L,Beverages,21,57,53,36,32
2023-11-28,Store_Bangalore,Coca Cola 2L,Beverages,70,53,52,17,18
2023-11-29,Store_Bangalore,Coca Cola 2L,Beverages,64,52,51,12,13
2023-11-30,Store_Bangalore,Coca Cola 2L,Beverages,93,52,51,41,42
2023-12-01,Store_Bangalore,Coca Cola 2L,Beverages,12,51,52,39,40
2023-12-02,Store_Bangalore,Coca Cola 2L,Beverages,97,66,64,31,33
2023-12-03,Store_Bangalore,Coca Cola 2L,Beverages,40,66,64,26,24
2023-12-04,Store_Bangalore,Coca Cola 2L,Beverages,57,53,50,4,7
2023-12-05,Store_Bangalore,Coca Cola 2L,Beverages,111,52,51,59,60
2023-12-06,Store_Bangalore,Coca Cola 2L,Beverages,51,50,50,1,1
2023-12-07,Store_Bangalore,Coca Cola 2L,Beverages,42,53,51,11,9
2023-12-08,Store_Bangalore,Coca Cola 2L,Beverages,54,52,50,2,4
2023-12-09,Store_Bangalore,Coca Cola 2L,Beverages,25,60,62,35,37
2023-12-10,Store_Bangalore,Coca Cola 2L,Beverages,44,59,62,15,18
2023-12-11,Store_Bangalore,Coca Cola 2L,Beverages,20,50,51,30,31
2023-12-12,Store_Bangalore,Coca Cola 2L,Beverages,95,55,54,40,41
2023-12-13,Store_Bangalore,Coca Cola 2L,Beverages,28,51,52,23,24
2023-12-14,Store_Bangalore,Coca Cola 2L,Beverages,32,52,50,20,18
2023-12-15,Store_Bangalore,Coca Cola 2L,Beverages,79,52,50,27,29
2023-12-16,Store_Bangalore,Coca Cola 2L,Beverages,113,66,63,47,50
2023-12-17,Store_Bangalore,Coca Cola 2L,Beverages,141,65,66,76,75
2023-12-18,Store_Bangalore,Coca Cola 2L,Beverages,55,49,58,6,3
2023-12-19,Store_Bangalore,Coca Cola 2L,Beverages,38,59,60,21,22
